Year,Team,Odds
2011,Duke Blue Devils,+500
2011,Purdue Boilermakers,+750
2011,Michigan State Spartans,+850
2011,Kentucky Wildcats,+850
2011,Kansas State Wildcats,+1200
2011,Memphis Tigers,+1500
2011,Baylor Bears,+1800
2011,North Carolina Tar Heels,+1800
2011,Villanova Wildcats,+1800
2011,Texas Longhorns,+2000
2011,Florida Gators,+2000
2011,Kansas Jayhawks,+2000
2011,Pittsburgh Panthers,+2000
2011,Ohio State Buckeyes,+2200
2011,Tennessee Volunteers,+2200
2011,Louisville Cardinals,+2500
2011,Georgetown Hoyas,+2500
2011,Illinois Fighting Illini,+2500
2011,Butler Bulldogs,+3000
2011,Syracuse Orange,+3000
2011,Wisconsin Badgers,+3300
2011,UCLA Bruins,+4000
2011,Connecticut Huskies,+4000
2011,West Virginia Mountaineers,+5000
2011,Missouri Tigers,+5000
2011,Gonzaga Bulldogs,+5000
2011,Washington Huskies,+6000
2011,Seton Hall Pirates,+6600
2011,Texas A&M Aggies,+6600
2011,Xavier Musketeers,+6600
2011,Mississippi State Bulldogs,+6600
2011,Brigham Young Cougars,+6600
2011,Florida State Seminoles,+6600
2011,Georgia Tech Yellow Jackets,+6600
2011,Arizona Wildcats,+6600
2011,Michigan Wolverines,+6600
2011,Miami-Florida Hurricanes,+8000
2011,Marquette Golden Eagles,+8000
2011,Oregon Ducks,+10000
2011,Arizona State Sun Devils,+10000
2011,Notre Dame Fighting Irish,+10000
2011,Indiana Hoosiers,+10000
2011,Maryland Terrapins,+10000
2011,Oklahoma State Cowboys,+12500
2011,Mississippi Rebels,+12500
2011,Washington State Cougars,+12500
2011,Clemson Tigers,+12500
2011,Virginia Tech Hokies,+12500
2011,California Golden Bears,+12500
2011,Stanford Cardinal,+12500
2011,Alabama Crimson Tide,+12500
2011,Texas Tech Red Raiders,+12500
2011,Iowa Hawkeyes,+15000
2012,North Carolina Tar Heels,+350
2012,Kentucky Wildcats,+550
2012,Ohio State Buckeyes,+850
2012,Duke Blue Devils,+900
2012,Louisville Cardinals,+1000
2012,Syracuse Orange,+1200
2012,Florida Gators,+1600
2012,Connecticut Huskies,+2000
2012,Texas Longhorns,+2200
2012,Memphis Tigers,+2200
2012,Pittsburgh Panthers,+2200
2012,UCLA Bruins,+2200
2012,Kansas Jayhawks,+2500
2012,Michigan State Spartans,+2500
2012,Saint Johns Red Storm,+2500
2012,Indiana Hoosiers,+3000
2012,Vanderbilt Commodores,+3000
2012,Arizona Wildcats,+3300
2012,Baylor Bears,+3300
2012,Georgetown Hoyas,+3500
2012,Gonzaga Bulldogs,+4000
2012,Michigan Wolverines,+4000
2012,Kansas State Wildcats,+5000
2012,Alabama Crimson Tide,+5000
2012,Washington Huskies,+5000
2012,Butler Bulldogs,+5000
2012,Notre Dame Fighting Irish,+5000
2012,Wisconsin Badgers,+5000
2012,Villanova Wildcats,+5000
2012,Texas A&M Aggies,+5500
2012,Florida State Seminoles,+6600
2012,West Virginia Mountaineers,+6600
2012,Mississippi State Bulldogs,+6600
2012,Oregon Ducks,+8000
2012,Tennessee Volunteers,+8000
2012,Missouri Tigers,+8000
2012,Illinois Fighting Illini,+8500
2012,Washington State Cougars,+10000
2012,Oklahoma State Cowboys,+10000
2012,Oklahoma Sooners,+10000
2012,North Carolina State Wolfpack,+10000
2012,UNLV Rebels,+10000
2012,Marquette Golden Eagles,+10000
2012,Maryland Terrapins,+10000
2012,Xavier Musketeers,+10000
2012,Mississippi Rebels,+12500
2012,Georgia Bulldogs,+12500
2012,Clemson Tigers,+12500
2012,Virginia Tech Hokies,+12500
2012,Colorado Buffaloes,+12500
2012,California Golden Bears,+12500
2012,Georgia Tech Yellow Jackets,+12500
2012,Iowa Hawkeyes,+12500
2012,Stanford Cardinal,+12500
2012,Purdue Boilermakers,+12500
2012,San Diego State Aztecs,+12500
2012,Seton Hall Pirates,+12500
2012,Southern California Trojans,+12500
2012,Miami-Florida Hurricanes,+12500
2012,Arizona State Sun Devils,+15000
2012,Brigham Young Cougars,+17500
2012,Louisiana State Tigers,+20000
2012,Wake Forest Demon Deacons,+25000
2013,Indiana Hoosiers,+500
2013,Louisville Cardinals,+700
2013,North Carolina State Wolfpack,+1000
2013,UCLA Bruins,+1200
2013,Kentucky Wildcats,+1200
2013,Kansas Jayhawks,+1500
2013,Ohio State Buckeyes,+2000
2013,UNLV Rebels,+2000
2013,Michigan Wolverines,+2000
2013,Duke Blue Devils,+2000
2013,Arizona Wildcats,+2500
2013,Florida Gators,+2500
2013,Michigan State Spartans,+2500
2013,Syracuse Orange,+2500
2013,Missouri Tigers,+3000
2013,North Carolina Tar Heels,+3000
2013,Gonzaga Bulldogs,+4000
2013,Memphis Tigers,+5000
2013,Creighton Blue Jays,+5000
2013,Pittsburgh Panthers,+5000
2013,San Diego State Aztecs,+5000
2013,Baylor Bears,+5000
2013,Georgetown Hoyas,+5000
2013,Texas Longhorns,+7500
2013,Miami-Florida Hurricanes,+8000
2013,Temple Owls,+10000
2013,Oklahoma State Cowboys,+10000
2013,Saint Josephs-Pennsylvania Hawks,+10000
2013,Marquette Golden Eagles,+10000
2013,Saint Louis Billikens,+10000
2013,Texas A&M Aggies,+10000
2013,Stanford Cardinal,+10000
2013,Notre Dame Fighting Irish,+10000
2013,Southern California Trojans,+10000
2013,Minnesota Golden Gophers,+10000
2013,Tennessee Volunteers,+10000
2013,Virginia Cavaliers,+10000
2013,West Virginia Mountaineers,+10000
2013,Washington Huskies,+10000
2013,California Golden Bears,+10000
2013,Virginia Commonwealth Rams,+10000
2013,Butler Bulldogs,+10000
2013,Wisconsin Badgers,+10000
2013,Drexel Dragons,+10000
2013,Florida State Seminoles,+10000
2013,Cincinnati Bearcats,+10000
2013,Kansas State Wildcats,+10000
2013,Iowa State Cyclones,+10000
2013,Alabama Crimson Tide,+10000
2013,Illinois Fighting Illini,+10000
2013,Arkansas Razorbacks,+10000
2013,South Florida Bulls,+20000
2013,Saint Marys College-California Gaels,+20000
2013,Richmond Spiders,+20000
2013,Rutgers Scarlet Knights,+20000
2013,Xavier Musketeers,+20000
2013,Virginia Tech Hokies,+20000
2013,Seton Hall Pirates,+20000
2013,Saint Johns Red Storm,+20000
2013,Utah State Aggies,+20000
2013,Vanderbilt Commodores,+20000
2013,Villanova Wildcats,+20000
2013,Saint Bonaventure Bonnies,+20000
2013,Southern Mississippi Golden Eagles,+20000
2013,Wichita State Shockers,+20000
2013,South Carolina Gamecocks,+20000
2013,Purdue Boilermakers,+20000
2013,Providence Friars,+20000
2013,California State-Long Beach 49ers,+20000
2013,La Salle Explorers,+20000
2013,Iowa Hawkeyes,+20000
2013,Harvard Crimson,+20000
2013,Georgia Tech Yellow Jackets,+20000
2013,Georgia Bulldogs,+20000
2013,George Mason Patriots,+20000
2013,DePaul Blue Demons,+20000
2013,Dayton Flyers,+20000
2013,Davidson College Wildcats,+20000
2013,Colorado Buffaloes,+20000
2013,Clemson Tigers,+20000
2013,Brigham Young Cougars,+20000
2013,Louisiana State Tigers,+20000
2013,Marshall Thundering Herd,+20000
2013,Maryland Terrapins,+20000
2013,Oregon State Beavers,+20000
2013,Oregon Ducks,+20000
2013,Oklahoma Sooners,+20000
2013,Ohio Bobcats,+20000
2013,Northwestern Wildcats,+20000
2013,Northern Iowa Panthers,+20000
2013,New Mexico Lobos,+20000
2013,Nevada Wolf Pack,+20000
2013,Murray State Racers,+20000
2013,Colorado State Rams,+20000
2013,Mississippi State Bulldogs,+20000
2013,Mississippi Rebels,+20000
2013,Massachusetts Minutemen,+20000
2013,Belmont Bruins,+20000
2013,Central Florida Knights,+30000
2014,Kentucky Wildcats,+400
2014,Kansas Jayhawks,+550
2014,Duke Blue Devils,+800
2014,Louisville Cardinals,+800
2014,Michigan State Spartans,+900
2014,Arizona Wildcats,+1800
2014,Ohio State Buckeyes,+2200
2014,Florida Gators,+2200
2014,Syracuse Orange,+2500
2014,Oklahoma State Cowboys,+3000
2014,North Carolina Tar Heels,+3000
2014,Michigan Wolverines,+3500
2014,Oregon Ducks,+6000
2014,Connecticut Huskies,+6500
2014,Virginia Commonwealth Rams,+7000
2014,Memphis Tigers,+7000
2014,Gonzaga Bulldogs,+8500
2014,Georgetown Hoyas,+8500
2014,Indiana Hoosiers,+8500
2014,Iowa Hawkeyes,+8500
2014,Wisconsin Badgers,+8500
2014,La Salle Explorers,+10000
2014,Louisiana State Tigers,+10000
2014,Virginia Cavaliers,+10000
2014,UCLA Bruins,+10000
2014,Villanova Wildcats,+10000
2014,Iowa State Cyclones,+10000
2014,Harvard Crimson,+10000
2014,Saint Louis Billikens,+12500
2014,Baylor Bears,+12500
2014,Marquette Golden Eagles,+12500
2014,Wichita State Shockers,+12500
2014,Notre Dame Fighting Irish,+12500
2014,Colorado Buffaloes,+12500
2014,UNLV Rebels,+12500
2014,Tennessee Volunteers,+12500
2014,New Mexico Lobos,+12500
2014,Saint Johns Red Storm,+12500
2014,Creighton Blue Jays,+12500
2014,Maryland Terrapins,+15000
2014,Missouri Tigers,+20000
2014,San Diego State Aztecs,+20000
2014,Purdue Boilermakers,+20000
2014,Pittsburgh Panthers,+20000
2014,Florida State Seminoles,+20000
2014,Alabama Crimson Tide,+20000
2014,Arizona State Sun Devils,+20000
2014,Boise State Broncos,+20000
2014,Brigham Young Cougars,+20000
2014,Cincinnati Bearcats,+20000
2014,Texas-El Paso Miners,+20000
2014,Stanford Cardinal,+20000
2014,Kansas State Wildcats,+20000
2014,Boston College Eagles,+20000
2014,Southern Mississippi Golden Eagles,+20000
2014,Texas Longhorns,+30000
2014,Oklahoma Sooners,+30000
2014,Providence Friars,+30000
2014,West Virginia Mountaineers,+30000
2014,California Golden Bears,+30000
2014,Xavier Musketeers,+30000
2014,Washington Huskies,+30000
2014,Saint Marys College-California Gaels,+30000
2014,Mississippi Rebels,+30000
2014,Minnesota Golden Gophers,+30000
2014,Saint Josephs-Pennsylvania Hawks,+50000
2014,Texas A&M Aggies,+50000
2014,South Carolina Gamecocks,+50000
2014,Richmond Spiders,+50000
