Year,Team,Real Win Total,Real Loss Total,Pythag
2011,Abilene Christian Wildcats,0,0,0
2011,Air Force Falcons,16,16,0.490136013
2011,Akron Zips,23,13,0.66081673
2011,Alabama A&M Bulldogs,13,15,0.414449577
2011,Alabama Crimson Tide,25,12,0.770000204
2011,Alabama State Hornets,17,18,0.398450014
2011,Alabama-Birmingham Blazers,22,9,0.711899452
2011,Albany Great Danes,16,16,0.455943304
2011,Alcorn State Braves,4,24,0.108180293
2011,American Eagles,22,9,0.598066568
2011,Appalachian State Mountaineers,16,15,0.495478728
2011,Arizona State Sun Devils,12,19,0.388183001
2011,Arizona Wildcats,30,8,0.771376654
2011,Arkansas Razorbacks,18,13,0.64273387
2011,Arkansas State Red Wolves,17,15,0.642924147
2011,Arkansas-Little Rock Trojans,19,17,0.532490939
2011,Arkansas-Pine Bluff Golden Lions,7,24,0.133147415
2011,Army Black Knights,11,19,0.37628029
2011,Auburn Tigers,11,20,0.352662484
2011,Austin Peay State Governors,20,14,0.729008222
2011,Ball State Cardinals,19,13,0.636386951
2011,Baylor Bears,18,13,0.699026954
2011,Belmont Bruins,30,5,0.926780458
2011,Bethune Cookman Wildcats,21,13,0.501143716
2011,Binghamton Bearcats,8,23,0.205855478
2011,Boise State Broncos,22,13,0.705560984
2011,Boston College Eagles,21,13,0.588819145
2011,Boston University Terriers,21,14,0.55454814
2011,Bowling Green State Falcons,14,19,0.38492869
2011,Bradley Braves,12,20,0.395193559
2011,Brigham Young Cougars,32,5,0.865370582
2011,Brown Bears,11,17,0.434666952
2011,Bryant University Bulldogs,9,21,0.22469158
2011,Bucknell Bison,25,9,0.722731759
2011,Buffalo Bulls,20,14,0.711274434
2011,Butler Bulldogs,28,10,0.745925968
2011,Cal Poly-Slo Mustangs,15,15,0.518785314
2011,California Baptist Lancers,1,1,0.261005635
2011,California Golden Bears,18,15,0.509662542
2011,California State-Bakersfield Roadrunners,9,19,0.21247395
2011,California State-Fullerton Titans,11,20,0.369667154
2011,California State-Long Beach 49ers,22,12,0.594300214
2011,California State-Northridge Matadors,14,18,0.445691759
2011,California State-Sacramento Hornets,7,21,0.227511737
2011,California-Davis Aggies,10,20,0.431775142
2011,California-Irvine Anteaters,13,19,0.491512195
2011,California-Riverside Highlanders,12,19,0.357838214
2011,California-Santa Barbara Gauchos,18,14,0.577305021
2011,Campbell Fighting Camels,12,19,0.427177964
2011,Canisius Golden Griffins,15,15,0.5239246
2011,Central Arkansas Bears,5,24,0.243509358
2011,Central Connecticut State Blue Devils,19,12,0.647513227
2011,Central Florida Knights,21,12,0.711049527
2011,Central Michigan Chippewas,10,21,0.293219988
2011,Charleston Southern Buccaneers,16,16,0.677490563
2011,Chicago State Cougars,6,26,0.06238809
2011,Cincinnati Bearcats,26,9,0.815835176
2011,Citadel Bulldogs,10,22,0.28909487
2011,Clemson Tigers,22,12,0.756549456
2011,Cleveland State Vikings,27,9,0.754343778
2011,Coastal Carolina Chanticleers,28,6,0.858572822
2011,Colgate Red Raiders,7,23,0.171750218
2011,College of Charleston Cougars,26,11,0.734809805
2011,Colorado Buffaloes,24,14,0.69845253
2011,Colorado State Rams,19,13,0.627442271
2011,Columbia Lions,15,13,0.492255022
2011,Connecticut Huskies,32,9,0.754621169
2011,Coppin State Eagles,16,14,0.507078261
2011,Cornell Big Red,10,18,0.42633628
2011,Creighton Blue Jays,23,16,0.629243481
2011,Dartmouth College Big Green,5,23,0.141236118
2011,Davidson College Wildcats,18,15,0.635217263
2011,Dayton Flyers,22,14,0.564167129
2011,Delaware Blue Hens,14,17,0.358454428
2011,Delaware State Hornets,9,21,0.378374789
2011,Denver Pioneers,13,17,0.475930799
2011,DePaul Blue Demons,7,24,0.221870358
2011,Detroit-Mercy Titans,17,16,0.565066992
2011,Drake Bulldogs,13,18,0.373908426
2011,Drexel Dragons,21,10,0.661541959
2011,Duke Blue Devils,32,5,0.907956391
2011,Duquesne Dukes,19,13,0.801132195
2011,East Carolina Pirates,18,16,0.534431505
2011,East Tennessee State Buccaneers,24,12,0.695769456
2011,Eastern Illinois Panthers,9,20,0.328928398
2011,Eastern Kentucky Colonels,15,16,0.612031188
2011,Eastern Michigan Eagles,9,22,0.343880861
2011,Eastern Washington Eagles,10,20,0.383381985
2011,Elon Phoenix,14,17,0.5
2011,Evansville Aces,16,16,0.470022769
2011,Fairfield Stags,25,8,0.757382131
2011,Fairleigh Dickinson-Metropolitan Knights,5,24,0.22271556
