Date,Team,Ranking
11/5/2019,Michigan State Spartans,0.894503255
11/5/2019,Duke Blue Devils,0.80754461
11/5/2019,Kentucky Wildcats,0.792234329
11/5/2019,Maryland Terrapins,0.735824854
11/5/2019,Virginia Cavaliers,0.732963101
11/5/2019,Kansas Jayhawks,0.726741699
11/5/2019,Louisville Cardinals,0.709136935
11/5/2019,North Carolina Tar Heels,0.694637863
11/5/2019,Villanova Wildcats,0.681647409
11/5/2019,Saint Marys College-California Gaels,0.670627004
11/5/2019,Colorado Buffaloes,0.669215391
11/5/2019,Virginia Commonwealth Rams,0.665141525
11/5/2019,Gonzaga Bulldogs,0.660915867
11/5/2019,Michigan Wolverines,0.652692873
11/5/2019,Florida Gators,0.651909234
11/5/2019,New Mexico State Aggies,0.644806956
11/5/2019,Utah State Aggies,0.639555182
11/5/2019,Wisconsin Badgers,0.639020273
11/5/2019,Houston Cougars,0.636418447
11/5/2019,Seton Hall Pirates,0.635709045
11/5/2019,Purdue Boilermakers,0.628579068
11/5/2019,Davidson College Wildcats,0.628524631
11/5/2019,North Carolina State Wolfpack,0.622515865
11/5/2019,Marquette Golden Eagles,0.61776928
11/5/2019,Memphis Tigers,0.617402436
11/5/2019,Ohio State Buckeyes,0.616967943
11/5/2019,Texas Tech Red Raiders,0.616233292
11/5/2019,Cincinnati Bearcats,0.611480448
11/5/2019,Liberty University Flames,0.610931148
11/5/2019,Louisiana State Tigers,0.610579313
11/5/2019,Mississippi State Bulldogs,0.609651429
11/5/2019,Vermont Catamounts,0.608670999
11/5/2019,Oregon Ducks,0.608638362
11/5/2019,Creighton Blue Jays,0.608159633
11/5/2019,East Tennessee State Buccaneers,0.604620883
11/5/2019,Baylor Bears,0.603968243
11/5/2019,South Florida Bulls,0.603265838
11/5/2019,Florida State Seminoles,0.599665834
11/5/2019,Auburn Tigers,0.598272626
11/5/2019,Texas Longhorns,0.597816517
11/5/2019,Tennessee Volunteers,0.597485891
11/5/2019,Furman  Paladins,0.596068874
11/5/2019,Belmont Bruins,0.594830504
11/5/2019,Iowa Hawkeyes,0.590750377
11/5/2019,Harvard Crimson,0.588677428
11/5/2019,Notre Dame Fighting Irish,0.582055818
11/5/2019,Xavier Musketeers,0.579109835
11/5/2019,Dayton Flyers,0.578110705
11/5/2019,Wofford Terriers,0.57003131
11/5/2019,Providence Friars,0.567373333
11/5/2019,Indiana Hoosiers,0.565338269
