Year,Team,Player,Stats,Played,ID
2011,Air Force Falcons,Michael Lyons,30,31,michael-lyons-1
2011,Air Force Falcons,Tom Fow,32,32,tom-fow-1
2011,Air Force Falcons,Derek Brooks,1,32,derek-brooks-1
2011,Air Force Falcons,Evan Washington,32,32,evan-washington-1
2011,Air Force Falcons,Taylor Broekhuis,29,30,taylor-broekhuis-1
2011,Air Force Falcons,Todd Fletcher,32,32,todd-fletcher-1
2011,Air Force Falcons,Mike Fitzgerald,0,32,mike-fitzgerald-1
2011,Air Force Falcons,Zach Bohannon,1,22,zach-bohannon-1
2011,Air Force Falcons,Taylor Stewart,2,28,taylor-stewart-1
2011,Air Force Falcons,Shawn Hempsey,0,25,shawn-hempsey-1
2011,Air Force Falcons,Adam Brakeville,1,19,adam-brakeville-1
2011,Air Force Falcons,Kyle Green,0,5,kyle-green-1
2011,Air Force Falcons,Scott Stucky,0,2,scott-stucky-1
2011,Akron Zips,Nikola Cvetinovic,36,36,nikola-cvetinovic-1
2011,Akron Zips,Brett McClanahan,35,36,brett-mcclanahan-1
2011,Akron Zips,Steve McNees,36,36,steve-mcnees-1
2011,Akron Zips,Zeke Marshall,35,36,zeke-marshall-1
2011,Akron Zips,Darryl Roberts,21,36,darryl-roberts-1
2011,Akron Zips,Brett Mcknight,0,29,brett-mcknight-1
2011,Akron Zips,Alex Abreu,15,36,alex-abreu-1
2011,Akron Zips,Quincy Diggs,1,36,quincy-diggs-1
2011,Akron Zips,Mike Bardo,1,36,mike-bardo-1
2011,Akron Zips,Josh Egner,0,19,josh-egner-1
2011,Akron Zips,Dakotah Euton,0,14,dakotah-euton-1
2011,Akron Zips,Kyle Petersen,0,7,kyle-petersen-1
2011,Akron Zips,C.J. Oldham,0,8,cj-oldham-1
2011,Alabama A&M Bulldogs,Casey Cantey,20,28,casey-cantey-1
2011,Alabama A&M Bulldogs,Cornelius Hester,25,28,cornelius-hester-1
2011,Alabama A&M Bulldogs,Demarquelle Tabb,7,26,demarquelle-tabb-1
2011,Alabama A&M Bulldogs,Bo Amusa,21,28,bo-amusa-1
2011,Alabama A&M Bulldogs,Jeremy Crutcher,22,28,jeremy-crutcher-1
2011,Alabama A&M Bulldogs,Desmond Jackson,3,28,desmond-jackson-1
